Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2020-02-16 01:26:22;2020-02-16 09:12:13;91%;93%;;0;279;Normal;101.0;;53.2;27950.7;23012.7;4938.0;2020-02-16 05:45:00;2020-02-16 06:15:00;true;0.0;32.0;No weather;
2020-02-17 01:25:57;2020-02-17 09:00:24;97%;95%;;0;566;Normal;101.7;;36.3;27267.0;23449.7;1181.6;2020-02-17 06:00:00;2020-02-17 06:00:00;true;0.0;32.0;No weather;
2020-02-24 01:39:20;2020-02-24 09:00:39;80%;0%;;0;686;Normal;101.9;;63.0;26478.3;23300.9;2030.0;2020-02-24 06:00:00;2020-02-24 06:00:00;true;0.0;32.0;No weather;
2020-02-26 01:46:25;2020-02-26 09:00:50;93%;99%;;0;4444;Normal;102.4;;29.6;26064.9;18766.7;2780.3;2020-02-26 06:00:00;2020-02-26 06:00:00;true;0.0;32.0;No weather;
2020-02-27 01:23:29;2020-02-27 09:00:41;98%;98%;;0;2271;Normal;102.6;;22.5;27431.9;25694.5;548.6;2020-02-27 06:00:00;2020-02-27 06:00:00;true;0.0;32.0;No weather;
2020-02-28 01:14:25;2020-02-28 09:00:49;91%;98%;;0;2443;Normal;101.9;;47.7;27984.1;22760.4;1119.4;2020-02-28 06:00:00;2020-02-28 06:00:00;true;0.0;32.0;No weather;
2020-02-29 01:49:10;2020-02-29 09:00:42;89%;97%;;0;2791;Normal;100.5;;36.0;25892.7;23821.3;1380.9;2020-02-29 06:00:00;2020-02-29 06:00:00;true;0.0;32.0;No weather;
2020-03-01 01:24:01;2020-03-01 08:50:09;87%;96%;;0;2282;Normal;101.6;;45.0;26767.3;22930.6;713.8;2020-03-01 06:00:00;2020-03-01 06:00:00;true;0.0;32.0;No weather;
2020-03-02 02:14:43;2020-03-02 09:00:44;64%;94%;;0;758;Normal;102.1;;81.6;24361.3;20057.5;487.2;2020-03-02 06:00:00;2020-03-02 06:00:00;true;0.0;32.0;No weather;
2020-03-03 01:27:48;2020-03-03 08:30:44;81%;92%;;0;1758;Normal;101.4;;48.2;25375.7;19116.4;1438.0;2020-03-03 05:30:00;2020-03-03 05:30:00;true;0.0;32.0;No weather;
2020-03-04 00:40:46;2020-03-04 09:05:53;97%;90%;;0;4685;Normal;101.0;;47.9;30307.2;22730.4;1818.4;2020-03-04 06:00:00;2020-03-04 06:00:00;true;0.0;32.0;No weather;
2020-03-05 01:23:36;2020-03-05 09:00:48;96%;90%;;0;1866;Normal;101.2;;28.7;27431.5;25877.1;1554.5;2020-03-05 06:00:00;2020-03-05 06:00:00;true;0.0;32.0;No weather;
2020-03-06 01:41:11;2020-03-06 09:00:47;84%;93%;;0;4489;Normal;100.9;;48.2;26376.0;22771.3;967.1;2020-03-06 06:00:00;2020-03-06 06:00:00;true;0.0;32.0;No weather;
